disease_id	disease_name	source_id	maxo_id	maxo_name	hpo_id	relation	evidence	extension_id	extension_name	comment	other	author	last_updated	created
MONDO:0008753	alkaptonuria	PMID:10488288	MAXO:0025001	surgical procedure on cardiovascular system	HP:0001650	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:10494297	MAXO:0010002	protein intake avoidance	HP:0033704	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:12359141	MAXO:0010043	whole kidney transplantation	HP:0000083	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:12546396	MAXO:0001046	discectomy	HP:0008441	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:16736091	MAXO:0001046	discectomy	HP:0008441	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:22482092	MAXO:0009082	arthroplasty	HP:0003040	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:19300282	MAXO:0009082	arthroplasty	HP:0003040	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:19671401	MAXO:0000004	surgical procedure	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:22772574	MAXO:0001046	discectomy	HP:0008441	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:25475116	MAXO:0000058	pharmacotherapy	HP:0033704	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:32822600	MAXO:0000058	pharmacotherapy	HP:0033704	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:28081634	MAXO:0000058	pharmacotherapy	HP:0033704	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0008753	alkaptonuria	PMID:9870204	MAXO:0010002	protein intake avoidance	HP:0033704	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-03
MONDO:0007041	Apert syndrome	PMID:21865115	MAXO:0000237	retinoid agent therapy	HP:0001061	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:22901909	MAXO:0001183	bronchoscopy	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:23170942	MAXO:0001293	hand reconstructive plastic surgery	HP:0001159	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:22196295	MAXO:0001293	hand reconstructive plastic surgery	HP:0001159	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:24709088	MAXO:0000486	distraction osteogenesis	HP:0001363	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:23702195	MAXO:0000486	distraction osteogenesis	HP:0002870	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:23702195	MAXO:0000486	distraction osteogenesis	HP:0006536	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:25313108	MAXO:0000703	ophthalmologist evaluation	HP:0000646	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:26398130	MAXO:0000500	airway management	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:24820706	MAXO:0000500	airway management	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:26674912	MAXO:0000004	surgical procedure	HP:0010536	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:26674912	MAXO:0000004	surgical procedure	HP:0000453	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:25929771	MAXO:0000004	surgical procedure	HP:0010743	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:26365357	MAXO:0001293	hand reconstructive plastic surgery	HP:0001159	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:28906337	MAXO:0000486	distraction osteogenesis	HP:0010807	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:28570459	MAXO:0000486	distraction osteogenesis	HP:0011800	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:28820838	MAXO:0001292	surgical plastic reconstruction of face	HP:0001363	unknown	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:29891270	MAXO:0001293	hand reconstructive plastic surgery	HP:0001159	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:31137453	MAXO:0000667	anesthesiology specialist evaluation	HP:0002902	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:32398550	MAXO:0000004	surgical procedure	HP:0001818	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:33136789	MAXO:0001293	hand reconstructive plastic surgery	HP:0001159	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:31895846	MAXO:0001293	hand reconstructive plastic surgery	HP:0001159	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:34133757	MAXO:0000504	tracheostomy	HP:0005347	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007041	Apert syndrome	PMID:34133757	MAXO:0001514	surgical procedure on respiratory system	HP:0005347	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:34152392	MAXO:0000452	ablation therapy	HP:0004308	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:36396185	MAXO:0000452	ablation therapy	HP:0001663	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:34152392	MAXO:0000452	ablation therapy	HP:0005110	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:34182174	MAXO:0000452	ablation therapy	HP:0001663	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:34387130	MAXO:0000474	implantable cardioverter-defibrillator placement	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:34444641	MAXO:0000884	behavioral dietary intervention	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:34446272	MAXO:0000452	ablation therapy	HP:0004756	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:34751355	MAXO:0000474	implantable cardioverter-defibrillator placement	HP:0001699	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:36396185	MAXO:0000474	implantable cardioverter-defibrillator placement	HP:0001663	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0015263	Brugada syndrome	PMID:36960730	MAXO:0000452	ablation therapy	HP:0001663	prevents	PCS					ORCID:0000-0002-0736-9199		2024-08-02
MONDO:0007542	Camurati-Engelmann disease	PMID:10685567	MAXO:0009025	cochlear device implantation	HP:0000365	unknown	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:10685567	MAXO:0009025	cochlear device implantation	HP:0030038	treats	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:11452173	MAXO:0000640	corticosteroid agent therapy	HP:0002653	treats	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:15660289	MAXO:0000954	bisphosphonate agent therapy	HP:0002653	lack of observed response	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:11452173	MAXO:0000954	bisphosphonate agent therapy	HP:0002653	lack of observed response	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:19943817	MAXO:0000449	surgical extirpation	HP:0002653	treats	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:19943817	MAXO:0010031	bone grafting	HP:0030038	treats	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:23729546	MAXO:0000110	vitamin D supplementation	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:23729546	MAXO:0000640	corticosteroid agent therapy	HP:0002653	treats	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0007542	Camurati-Engelmann disease	PMID:28137547	MAXO:0000948	craniotomy	HP:0002516	treats	PCS					ORCID:0000-0002-0736-9199		7/16/24
MONDO:0010079	Canavan disease	PMID:11589315	MAXO:0000167	anticonvulsant agent therapy	HP:0001250	treats	PCS					ORCID:0000-0002-0736-9199		2024-07-20
MONDO:0010079	Canavan disease	PMID:12443821	MAXO:0000504	tracheostomy	HP:0002835	treats	PCS					ORCID:0000-0002-0736-9199		2024-07-20
MONDO:0010079	Canavan disease	PMID:12443821	MAXO:0000504	tracheostomy	HP:0002870	treats	PCS					ORCID:0000-0002-0736-9199		2024-07-20
MONDO:0010079	Canavan disease	PMID:19685155	MAXO:0000058	pharmacotherapy	HP:0000118	unknown	PCS					ORCID:0000-0002-0736-9199		2024-07-20
MONDO:0010079	Canavan disease	PMID:23253610	MAXO:0001001	gene therapy	HP:0000118	unknown	PCS					ORCID:0000-0002-0736-9199		2024-07-20
MONDO:0010079	Canavan disease	PMID:16532510	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		2024-07-20
MONDO:0010079	Canavan disease	PMID:16568890	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		2024-07-20
MONDO:0010079	Canavan disease	PMID:10894210	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		2024-07-20
MONDO:0005130	celiac disease	PMID:24445753	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:29529159	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:37962594	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:21880523	MAXO:0010000	dietary gluten intake avoidance	HP:0004349	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:30453686	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:22984893	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:32111387	MAXO:0010000	dietary gluten intake avoidance	HP:0003270	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:33897715	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:26186878	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:27273303	MAXO:0010000	dietary gluten intake avoidance	HP:0001510	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:36859658	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:23029696	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:25824916	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:30700359	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:28514243	MAXO:0010000	dietary gluten intake avoidance	HP:0002013	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:29113007	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:27598396	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:25379519	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:30400639	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:27480555	MAXO:0010000	dietary gluten intake avoidance	HP:0003270	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:35973187	MAXO:0010000	dietary gluten intake avoidance	HP:0001903	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:29258815	MAXO:0010000	dietary gluten intake avoidance	HP:0001903	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:34510390	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:34464324	MAXO:0010000	dietary gluten intake avoidance	HP:0000938	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:30287732	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:21621350	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:31094177	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:29561985	MAXO:0010000	dietary gluten intake avoidance	HP:0001903	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:25379519	MAXO:0010000	dietary gluten intake avoidance	HP:0000938	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:22277809	MAXO:0010000	dietary gluten intake avoidance	HP:0004349	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:30367395	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:31000461	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:21189704	MAXO:0010000	dietary gluten intake avoidance	HP:0001903	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:26487487	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:23996798	MAXO:0010000	dietary gluten intake avoidance	HP:0001903	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:31915797	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	treats	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:21601206	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
MONDO:0005130	celiac disease	PMID:27908520	MAXO:0010000	dietary gluten intake avoidance	HP:0000118	prevents	PCS					ORCID:0000-0002-0736-9199		7/20/24
